manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡦᡳᠩ ᠰᡝᠮᡝ,ping seme,(肚子)闷胀、发胖、撑得慌，腹中胀满不思饮食，膨胀。,6,461,461a
ᡦᡳᠩᠰᡝ,pingse,〔名〕秤，天平。,6,461,461b
ᡦᡳᠩᠰᡝ ᡩᡝ ᠨᠣᠩᡤᡳᡵᡝ ᠮᡝᠩᡤᡠᠨ,pingse de nonggire menggun,平头银。,6,461,461b
ᡦᡳᠩᠰᡝᠯᡝᠮᠪᡳ,pingselembi,〔及〕秤兑： ku i menggun be pingseleme tuwambi 秤兑库银。,6,461,461b
ᡦᡳᠩᡤᠠᡵᡳ,pinggari,〔名〕〈动〉萍。,6,461,461a
ᡦᡳᠩᡤᠠᡵᡳ ᡝᠮᡦᡳ,pinggari empi,〈植〉萍蘩。,6,461,461a
ᡦᡳᠩᡤᠣ ᠪᡳᡵᠠ,pinggo bira,〈地〉平郭河，索伦名，又作平库河，在黑龙江一带。,6,461,461a
ᡦᡳᠩᡤᡠᡵᡳ,pingguri,〔名〕〈植〉苹果。,6,461,461b
ᡦᡳᠩᡤᡳᠶᡝᠨ ᠪᠣᠰᠣ,pinggiyen boso,平机布。,6,461,461b
ᡦᡳᠩᡦᡳ ᠠᠯᡳᠨ,pingpi alin,〈地〉平顶山，今辽宁省海城县山名，别名有 giyobgiya alin （车驾山）、 otokon alin （浴盆山）、tangwan alin （唐望山）。,6,461,461b
ᡦᡳᠮᡦᡳᠨᠠᠮᠪᡳ,pimpinambi,〔不及〕（脸面）发胖。,6,461,461c
ᡦᡳᠯᡝᠮᠪᡳ,pilembi,〔不及〕批写，批字，批示。,6,461,461b
ᡦᡳᠯᡝᠮᡝ ᡨᡠᠴᡳᠪᡠᠮᠪᡳ,pileme tucibumbi,批示。,6,461,461b
ᡦᡳᠯᡝᡥᡝ ᠪᡳᡨᡥᡝ,pilehe bithe,批贴。,6,461,461b
ᡦᡳᠯᡝᡵᡝ ᠪᡳᡨᡥᡝ ᠪᡝ ᡠᠨᠴᠠᠮᡝ ᠪᡠᠮᠪᡳ︕,pilere bithe be uncame bumbi!,卖给批文。,6,461,461b
ᡦᡳᠯᡝᡵᡝ ᠪᡳᡨᡥᡝ ᡨᡠᠴᡳᠪᡠᡥᡝ,pilere bithe tucibuhe,批示，发出批文。,6,461,461b
ᡦᡳᠯᡝᡵᡝ ᠪᡳᡨᡥᡝ ᡨᡠᠴᡳᠪᡠᡶᡳ ᠪᡝᠨᠵᡳᠪᡠᠮᠪᡳ,pilere bithe tucibufi benjibumbi,批解。,6,461,461b
ᡦᡳᠯᡝᡵᡝ ᠮᠠᡥᡡᠯᠠᡵᠠ,pilere mah@lara,批抹。,6,461,461b
ᡦᡳᠯᡝᡶᡳ ᠪᡝᠨᡝᠪᡠᠮᠪᡳ,pilefi benebumbi,批解，批送。,6,461,461c
ᡦᡳᠯᡝᡶᡳ ᠪᡝᡩᡝᡵᡝᠪᡠᠮᠪᡳ,pilefi bederebumbi,批回。,6,461,461c
ᡦᡳᠯᡝᡶᡳ ᠶᠠᠪᡠᠪᡠᠮᠪᡳ,pilefi yabubumbi,批允。,6,461,461c
ᡦᡳᠯᡠ ᡶᡠᠴᡳᡥᡳ,pilu fucihi,毗卢佛。,6,461,461c
ᡦᡳᠯᡠᡨᡠ,pilutu,〔名〕毗卢帽，指和尚所戴有毗卢佛之帽。,6,461,461c
