manchu_word,trans_word,desc_word,dic_id,image_file_name,image_file_page_no
ᡰᡳᠨᡯᡠᠩ,zindzung,〔名〕仁宗,6,1096,1096b
ᡰᡳᠨᡯᡠᠩ ᠰᡠᠩᡤᡳᠶᡝᠨ ᡥᡡᠸᠠᠩᡩᡳ,zindzung sunggiyen h@wangdi,仁宗睿皇帝，名颙琰，高宗第十五子，乾隆二十五年（一七六〇年）十月初六日丑时生于圆明园之天地一家春，母孝仪纯皇后，嘉庆元年（一七九六年）正月初一日即帝位，在位二十五年，年号嘉庆，庙号仁宗，谥号睿皇帝，嘉庆二十五年（一八二〇年）七月十五日午刻死于承德避暑山庄，享年六十一岁，葬于清西陵之昌陵。,6,1096,1096b
